"diagsum_position"	"reference_align_site"	"nodeid=0"	"nodeid=196"	"nodeid=396"	"nodeid=594"	"nodeid=793"	"nodeid=991"	"nodeid=1192"	"nodeid=1393"	"nodeid=1594"	"nodeid=1792"	"nodeid=1995"	"nodeid=2195"	"nodeid=2394"	"nodeid=2595"	"nodeid=2791"	"nodeid=2996"	"nodeid=3191"	"nodeid=3386"	"nodeid=3590"	"nodeid=3790"	"nodeid=3994"	"nodeid=4189"	"nodeid=4394"	"nodeid=4595"	"nodeid=4797"
"12"	"-126"	"1.0274806063968738"	"1.011062646511313"	"0.9985940723671579"	"1.0313696326599984"	"0.9760340335485416"	"0.9845175634897089"	"0.9489612115606668"	"1.008882029495641"	"1.0035310064907612"	"1.0323378886044057"	"1.0064223163370116"	"1.0197885205429416"	"0.9684410543374585"	"1.0185797889293715"	"0.9712608584137634"	"1.03208214005119"	"1.0388938257961584"	"1.0351118999259805"	"1.0085104783516226"	"1.0282947308423362"	"1.0216285872380126"	"0.9819588875684077"	"1.0225203061964596"	"0.9659314775980828"	"1.0236491036398332"
"13"	"-125"	"0.9864719560875085"	"0.9853744238423364"	"1.0256727506273915"	"1.0241328981408548"	"0.9614902764065435"	"1.00683731077201"	"1.0118198589313956"	"0.9472694639139059"	"1.018818912116359"	"0.940370871923762"	"1.0378802171730441"	"0.9929926171534991"	"1.0477559895701354"	"0.9268706959733412"	"1.0541956751147363"	"0.9514097182357915"	"1.0221051824618477"	"1.0366812641576342"	"0.9958305110945828"	"1.0327313747910896"	"1.0377499495736537"	"0.987807724098037"	"0.9732591245562571"	"0.9862134994323112"	"0.9804561622342401"
"14"	"-124"	"1.0873065259202375"	"1.0610040346419172"	"1.0636822641447616"	"1.0236453822866989"	"1.0645576834507213"	"1.0606738097837403"	"1.1015684138530364"	"1.0089880893863297"	"1.017896113303572"	"0.9421530189586989"	"0.981444780621007"	"1.0176909429153167"	"1.0451376644555215"	"1.0252378807499163"	"1.0125639447759776"	"1.0442465691270297"	"1.0526729432418551"	"1.0263882546769447"	"1.0138195891283555"	"1.0378102249747432"	"1.0595636103571724"	"1.0110192049131665"	"1.0407596900397125"	"1.0875205924832807"	"1.022893056250967"
"15"	"-123"	"1.0408296948766098"	"0.9969532703539181"	"0.9915766024769845"	"1.0162341322834352"	"0.998830770388379"	"1.0227019969847326"	"1.0085973887442636"	"1.017407979790235"	"1.0090167205714786"	"1.0137615033949487"	"1.0258564009739437"	"1.0414781250401675"	"1.0249114602699203"	"1.0356769280782407"	"1.0220860853843325"	"1.0459387863213045"	"1.0383358858050271"	"1.008638468088864"	"1.021417370304318"	"1.0285483851366612"	"1.025619409613226"	"1.0484256975954145"	"1.0311122913189565"	"1.0049174981605127"	"1.0396532885817602"
"16"	"-122"	"0.8759884592983584"	"0.9005482439992178"	"0.9324363213048351"	"0.8426178521683331"	"0.873733739046696"	"0.8928747934331491"	"0.8754628119380672"	"0.8938537233756376"	"0.9275351511584798"	"0.9523210593531664"	"0.8682730613172979"	"0.828486727186744"	"0.8797539279447066"	"0.883074414037254"	"0.8759020362784102"	"0.8793232719086858"	"0.8506765228976916"	"0.8753450634993608"	"0.9341490819932753"	"0.9125355874701198"	"0.8858939122792567"	"0.8759496871982927"	"0.8635553785023323"	"0.9543025650471051"	"0.8246284844693942"
"17"	"-121"	"1.0501988171544092"	"1.0465917339067887"	"1.0181118853265116"	"1.074781858721876"	"1.0791196512203725"	"1.1011177473824687"	"1.0791022212545622"	"1.0695520008234483"	"1.0869785834581678"	"1.0508797143408684"	"1.1000986001824202"	"1.0752130014895964"	"1.0770963491701881"	"1.077406834979646"	"1.0740904509166036"	"1.078237847680082"	"1.0424632942173409"	"1.080929426716019"	"1.159005458908606"	"1.0498588227810617"	"1.0246995442038485"	"1.0601289101030116"	"1.0437742541559933"	"1.147178261278337"	"1.0854657470364837"
"18"	"-120"	"1.0164561167745105"	"1.0878852936900867"	"1.076485308994005"	"1.0809845315715059"	"1.1029184364198428"	"1.1039354577348313"	"1.1078339721673585"	"1.026286014413294"	"1.0534123572480427"	"1.1141939700565757"	"0.9673795625757577"	"1.0197421178311892"	"0.9979966781007209"	"1.012826951953763"	"1.0329478222687645"	"1.0278540493813026"	"1.0218127020500791"	"1.1196304926352356"	"0.9837987898557319"	"1.0590902656886898"	"1.1031261527908538"	"1.0238217871567883"	"1.0377494854557736"	"1.025156676567697"	"1.0090192650228653"
"19"	"-119"	"0.9419731563441832"	"1.0116331405246464"	"1.0107171561175166"	"0.9971681356838638"	"0.9641755289831194"	"0.9996958256778984"	"0.9866832632462271"	"1.0141137788095405"	"1.022113608132591"	"0.9860551668873332"	"1.0048870505135823"	"1.018651340480484"	"1.0157973856072189"	"0.9826049312554151"	"0.9880674143259647"	"0.9910802821507991"	"0.9923974238096435"	"0.9624448254237564"	"0.9648734789720422"	"1.0108542286069544"	"0.9926536595696606"	"0.9436395461496174"	"0.9599668845216516"	"0.9694112375263868"	"1.0038301194171115"
"20"	"-118"	"0.9467237049354893"	"0.9317235339762233"	"0.9326331559471154"	"0.9303415250238763"	"0.985633588742044"	"0.9320948192760026"	"0.961773144647723"	"0.9342864219395265"	"0.8905134179241655"	"0.9540992814316357"	"0.9347301987276232"	"0.8810167785685303"	"0.862059252315829"	"0.8752285293807966"	"0.9172260293827819"	"0.881072365913351"	"0.911294431129042"	"0.9028873821728695"	"0.8721701136242532"	"0.9431557805646084"	"0.8948583047066653"	"0.9107084335910762"	"0.9271542381242366"	"0.8806485087958285"	"0.8826326932378921"
"21"	"-117"	"1.0036605847262343"	"0.9399912157083732"	"0.9392413310295703"	"0.9713090910142264"	"0.921848994735665"	"0.907128453308988"	"0.8729958005839284"	"0.9785736027369798"	"0.9316178798071512"	"0.9889428701703687"	"0.9738488204537658"	"1.0169762663564987"	"1.013380600318364"	"1.015375231069798"	"0.9853737041573325"	"1.0213524250166652"	"1.0405456256990022"	"0.9645163578246919"	"1.0008090018709295"	"0.9919855708400545"	"0.9610539494766812"	"1.0318765532896494"	"1.0142562143048726"	"1.0080634386671246"	"1.0344411921589909"
"22"	"-116"	"0.9976942477276086"	"1.0348116061231043"	"1.0340645559462665"	"1.047787384679082"	"1.035973686899649"	"1.027118140797512"	"1.0524923871306182"	"1.037557387767642"	"1.0378571936801408"	"1.0479633007794598"	"1.0629795949642402"	"0.9926097723772467"	"0.9966601813199344"	"0.9991986931218043"	"1.0559747232650052"	"1.0313447413324597"	"1.0082372938624509"	"1.040037264120772"	"1.0641426524390216"	"1.0176953860156"	"1.0152747476834225"	"1.019827748738596"	"0.9765772248660075"	"0.9890635061201765"	"0.9920989929397184"
"23"	"-115"	"1.0414686560514141"	"1.0332659402664264"	"1.0923472835654775"	"1.073243225491155"	"1.0633393197522434"	"1.0876395601575235"	"1.0685686170790836"	"0.9680145118545815"	"0.9995369322565797"	"0.987604724362921"	"1.0451250686320643"	"1.0558545560634134"	"1.0498307969276781"	"0.9994889991115171"	"0.977700514050433"	"0.9836638172651403"	"0.9764930134090504"	"0.9941879497039194"	"0.9938171431480178"	"0.9755020682184262"	"1.0537341167854808"	"1.0399713292814146"	"1.0503615819802972"	"1.0050120636199635"	"1.0468576699546903"
"24"	"-114"	"1.0278873571708644"	"1.0006077246097682"	"0.9989234918768335"	"0.9456888983745224"	"1.0166152557156656"	"1.0307973471211762"	"1.01981658612972"	"1.0112864036956577"	"0.9828112113280565"	"1.004023732814576"	"1.055120709308495"	"1.0052092988517103"	"1.0374182246275663"	"1.0211968528001585"	"1.0010734662474108"	"1.0163588014991611"	"0.9765663705222662"	"1.0218987817569103"	"1.0574478316140399"	"1.018177463462229"	"0.9899311136526525"	"1.0049992228638054"	"1.0112880906972568"	"0.9431025997589049"	"0.9911713814261666"
"25"	"-113"	"1.0005536991328847"	"1.0046870659670388"	"0.988005826074232"	"1.0355244392698049"	"0.979435737725578"	"0.9562681917541461"	"0.9802072805467563"	"1.0309634619779706"	"0.9799310220676279"	"1.0339558186784734"	"1.0122010574944311"	"1.0470864917626577"	"1.0489033335669629"	"1.0479482919681558"	"0.9917926862759817"	"1.0220406849048962"	"1.0270645159658542"	"1.0030111444762548"	"1.0077318049497583"	"1.0098291353364823"	"0.9894963082939457"	"1.0814979441568162"	"1.067419343039556"	"0.9488456128007526"	"1.058364700479316"
"26"	"-112"	"1.000547181089349"	"1.0324953122075717"	"1.0121108119157516"	"0.967585012251392"	"1.0062389785808565"	"0.9804149350790444"	"0.9813924392717125"	"1.008609235162477"	"0.9622843671874236"	"1.005002256322606"	"1.0115754906037298"	"0.9760853485092833"	"0.9676850474535061"	"0.9935053207190777"	"0.9302618548657231"	"0.9519469456885375"	"0.9443584490282213"	"0.9606911305299236"	"0.9655115126018641"	"0.9596827568469669"	"0.972211510989355"	"0.9703015728353817"	"0.9830613872220318"	"0.9975716211095719"	"0.9783099904574715"
"27"	"-111"	"0.9273807158450962"	"0.9992912858967952"	"0.963235691940494"	"0.9891733632070975"	"0.9868077495602265"	"0.9438550067743376"	"0.9484189506389565"	"0.983220556488798"	"0.9485682924552156"	"1.0119782264579513"	"0.8916043033306638"	"0.9659251930144314"	"0.9471795021912756"	"0.9818900154340274"	"0.9538506009127476"	"0.9926569246049406"	"0.9577461277465525"	"1.0430572445501125"	"0.9811373784757631"	"1.0169625381908391"	"1.0297381884187182"	"0.9835135129916359"	"0.9988287246861414"	"0.9484584377986379"	"0.9746955254208444"
"28"	"-110"	"0.9669141609780454"	"0.945880383677911"	"0.9482584706672922"	"0.9248816767077164"	"0.9594530373928536"	"0.9606293962229941"	"0.975968570913905"	"0.9718180896686488"	"1.0002308139671954"	"0.9818459691475095"	"0.9480382873912481"	"0.9680660392231518"	"0.9601277200651073"	"0.9433129839708673"	"0.9530749930885243"	"0.9319494447761899"	"0.9761234238767245"	"0.9557809881149876"	"0.9492147164283006"	"0.9919094551972185"	"0.9693912657503024"	"0.98746222926181"	"0.9621165157402329"	"0.9905057500732113"	"0.9639998741919922"
"29"	"-109"	"0.9680634312307024"	"0.971816406398762"	"0.9662826607947832"	"0.9999025077802964"	"0.957065566734171"	"0.9694645922931745"	"0.9549685911595277"	"1.0012751820168215"	"0.9420676845648676"	"0.9290356397744968"	"0.9705200955195319"	"0.9887007569322771"	"0.9894379079474525"	"1.000293893881916"	"0.9741380783802289"	"0.9842802476099928"	"0.9563405113477245"	"0.8675733499717085"	"0.8871382414708978"	"0.9299326542151237"	"0.9595976102285414"	"0.9382559569936226"	"0.9003369863437074"	"0.947126100973206"	"0.9775753743160508"
"30"	"-108"	"0.9293793862626"	"0.9308765305813773"	"0.9454126819498083"	"0.9095858938233541"	"0.9439257246172221"	"0.9201209923344505"	"0.953953623511644"	"0.9608158679926592"	"0.9851022160699813"	"0.9987912958054755"	"0.9494874320962673"	"0.9590810593449784"	"0.9599868944065391"	"0.9554695914532496"	"0.9632746718149665"	"0.9665946704423454"	"0.9401557077690462"	"0.9795923822897546"	"0.9813327439155225"	"0.958506882707082"	"0.921535118216538"	"0.9793114242213646"	"0.9561285298245038"	"0.8895907466234405"	"0.9490830818162662"
"31"	"-107"	"1.0285948727754843"	"1.05040190519856"	"1.0083525133376194"	"1.0837428509380622"	"1.0303036475143772"	"1.0220596627125444"	"1.03579222947173"	"0.9537857389543911"	"0.961134394843495"	"0.9961735911612617"	"1.0114532337148738"	"0.9988461063641748"	"1.0026832512811785"	"1.0063014017817744"	"0.950902233080852"	"0.9932064443848329"	"0.9911553779012712"	"1.0483018998667002"	"0.9763456489467605"	"0.9992838350032835"	"1.0131165422279673"	"0.950394816949921"	"1.017290875931359"	"1.045608398173225"	"0.9904428675663989"
"32"	"-106"	"1.0565673686563046"	"0.9889152799631287"	"0.9581212758277109"	"1.029845603573137"	"1.0290030091549431"	"1.0351042179242353"	"1.0298346445786655"	"1.0429936103332218"	"1.0619376702195877"	"0.9333613750491871"	"1.0447105150433695"	"1.008494228158155"	"0.9969483515820893"	"1.0656934103229156"	"1.0642734284726625"	"1.061129881810334"	"1.0443555092854448"	"0.9926318713702973"	"1.0042219657157352"	"0.997423932302752"	"0.9460762601972615"	"1.0384072863474363"	"1.0318206054119325"	"1.0575473385842067"	"1.0185532627735445"
"33"	"-105"	"1.0008035836688416"	"0.9689787452700173"	"0.9925864254908745"	"1.034596837178872"	"0.9640119455370554"	"0.9738817518072579"	"0.943734268781712"	"1.0220442966493957"	"0.9684768868075637"	"0.9767022180479148"	"0.9904198733018283"	"1.0139970047036062"	"0.9892569167470633"	"1.0461618106299124"	"0.9840733118154683"	"1.00358691315632"	"0.9975442206893306"	"0.9365386871976604"	"0.9560639524091468"	"0.9398088649707139"	"1.0253120839594623"	"0.9639786954939628"	"0.9688358134957596"	"0.9925782858053507"	"1.0162871899677035"
"34"	"-104"	"0.8582559211465625"	"0.9467349406579206"	"0.9162574863275993"	"0.9047353997055797"	"0.9661848363809147"	"0.9843437534557576"	"0.9878914611277868"	"0.8906009766956712"	"0.9800559904889612"	"0.9800517967263422"	"0.9380953872528922"	"0.8830386470672343"	"0.9119018193557141"	"0.9107225015978727"	"0.9091725023964647"	"0.8906897801146119"	"0.867218712928446"	"0.9392971761284922"	"0.8905668552445242"	"0.8810045504640199"	"0.909219479934171"	"0.8432960188319685"	"0.8481752385770218"	"0.9498404710490861"	"0.8676842281392048"
"35"	"-103"	"1.0259480224660196"	"1.0072213935003604"	"1.0397328582388738"	"1.0139778672001865"	"0.9986113963102484"	"0.9902567554531789"	"0.9921476006338606"	"1.0253411064596647"	"1.0071339880891814"	"1.0355623041652051"	"0.9921590048369074"	"1.04344473104286"	"1.0535601055152997"	"1.0306552099594601"	"0.9873694556960935"	"1.0074655082449122"	"0.9605436989303552"	"1.0101388638927158"	"0.9463811489588496"	"1.0087285717466337"	"1.0093379209329503"	"1.056669465104717"	"1.0238787218727958"	"0.9910831968992381"	"1.0327845564938651"
"36"	"-102"	"0.871702172869198"	"0.8633586248411105"	"0.8409871899233924"	"0.8454490339935332"	"0.9365577189878265"	"0.9180404406343595"	"0.915977386544354"	"0.8925768691712259"	"0.8882258912098626"	"0.8733236235617823"	"0.8675531002224287"	"0.869017474416347"	"0.8397467318708814"	"0.8702532437167646"	"0.9132177288454706"	"0.877006763157753"	"0.8623537687570377"	"0.8991072306420271"	"0.8973604750207096"	"0.8723618698285481"	"0.8159385359231642"	"0.846576846310288"	"0.8962736334469075"	"0.9365071303235425"	"0.8785912379193432"
"37"	"-101"	"0.9086499237982494"	"1.011710330113923"	"0.9888210443349252"	"1.0190087439436282"	"0.9746659511250897"	"0.9415798207252487"	"0.9487095564283278"	"0.9328043760790912"	"0.943016721901209"	"1.0637537473293381"	"0.8859920482728054"	"0.9253488440589578"	"0.8903125308788797"	"0.9370890528704124"	"0.9562262603835155"	"0.9632524408427062"	"0.9209786695518255"	"0.9765337260597693"	"0.912128190465107"	"0.9947515414532861"	"1.0188185375542709"	"0.9164600810056684"	"0.918400509069535"	"0.9347758601296458"	"0.9580424389096294"
"38"	"-100"	"0.9733120381094676"	"1.0738767080047928"	"1.0672909244128235"	"1.0418943351237513"	"1.0791909515374358"	"1.074954425305798"	"1.0665224764363064"	"1.0134084307178877"	"1.0437483286481022"	"1.0612697537950233"	"1.0570820949297393"	"1.0573403361330516"	"1.0252416264787572"	"1.0293113513745502"	"1.0631095470635399"	"1.0139506741990467"	"1.0487435760487027"	"1.0663203061900877"	"1.0047893515267383"	"1.0644971395955614"	"1.0565880634309097"	"1.0192793986434276"	"1.0117458241168784"	"0.9829106120097983"	"1.047504604475708"
"39"	"-99"	"1.040739741499521"	"0.9991838322122105"	"0.9844638966689877"	"0.9753196469527539"	"0.9809405533054776"	"0.966959678940387"	"0.9808914679886991"	"1.0372591693996223"	"0.9490217770407329"	"0.9831429753159809"	"0.9679317195581703"	"1.0541926605118745"	"1.0208926842249673"	"1.0456537808314594"	"0.9234156817014347"	"1.0323483177636132"	"1.0648755049359104"	"0.9082745299197317"	"0.9956830246602046"	"1.0165313606734434"	"0.9857986811383533"	"1.0512523472588662"	"1.0278476046248748"	"0.9194522811177842"	"1.060124953257363"
"40"	"-98"	"0.9800820744730631"	"1.0315762104915613"	"1.0501867965186409"	"1.0722969057588645"	"1.0710545538041532"	"1.0837396688119314"	"1.0935732530101134"	"1.0103435847693665"	"1.0318946822001263"	"1.0070717325031482"	"1.0094143506876938"	"1.0245915403089205"	"0.9423837053736408"	"0.9915596613727069"	"0.9992165125597225"	"0.9749931025849199"	"0.9990819993413534"	"1.0843384781442245"	"0.9714512501831988"	"1.0740986322863533"	"1.054519449766908"	"0.9616176595258438"	"1.0001494515172722"	"0.9693414513054308"	"1.0381854246031887"
"41"	"-97"	"1.0620596076448126"	"1.0697031431858335"	"1.0758012414084492"	"1.074030562009168"	"1.081661762733793"	"1.0448782081330763"	"1.0501119156627783"	"1.0931554171602957"	"1.0428013866043293"	"1.0946132925473386"	"1.1131391171346987"	"1.0945436011107668"	"1.087242437575862"	"1.0785082435942865"	"1.1163325053787294"	"1.0979657321962903"	"1.1087388351233194"	"1.113996219878282"	"1.1091625082483008"	"1.137535982885314"	"1.11222856610233"	"1.0854017659028783"	"1.091966930283498"	"1.0438355455153012"	"1.1061490140853263"
"42"	"-96"	"0.9065087280980748"	"0.942033487575345"	"0.911848360118541"	"0.9716572395811368"	"0.9831882047606924"	"0.9468639973985882"	"0.9470077344225246"	"0.900100666137292"	"0.9075065994962083"	"0.9600934087340528"	"0.927263799917663"	"0.9487299883418915"	"0.900269077318235"	"0.9224790904489477"	"0.8770694924930308"	"0.8696161039368735"	"0.940961270994686"	"0.953397677184235"	"0.9215916953792174"	"1.0108727277802827"	"0.9810347703789812"	"0.9739792313457507"	"0.9883888146906702"	"0.8335657825417557"	"0.9639363034093523"
"43"	"-95"	"0.9188689462205761"	"0.983578338651413"	"0.9355175103017781"	"0.9051941717724509"	"0.9728816626456221"	"0.9464891525110715"	"0.9625726033357969"	"0.9588269004478549"	"0.8908174464787543"	"0.9500738963363174"	"0.9616099524562891"	"0.9526185331707994"	"0.9477939070649931"	"0.9773356841693607"	"0.9484542968641786"	"0.9615303027744476"	"0.951122176996112"	"1.0213809835690943"	"0.9713060927388226"	"0.9239216523190587"	"0.9768105884783769"	"0.9560148333683768"	"0.9819667358085645"	"0.8786286733003797"	"0.9707361704058379"
"44"	"-94"	"0.9421702764178559"	"0.9909859078798587"	"1.0019138440033493"	"0.9361553759585906"	"0.9992913440314423"	"1.016367406634794"	"1.0032096762585845"	"0.9796431845883741"	"0.9870901751700804"	"0.9749150640274127"	"0.9746548390933361"	"1.0067394372440173"	"1.0007056009067155"	"0.9871918760083414"	"0.9505236930610782"	"0.947187606528617"	"0.977137482216199"	"0.9638978462540047"	"0.9823707464198448"	"0.9483541087380671"	"0.9949449250492066"	"0.9638706201701018"	"0.9827228478399097"	"0.9544028215535304"	"0.9840580725343366"
"45"	"-93"	"1.0525426605338262"	"1.0192309076755357"	"1.0067038044960839"	"1.0491436529895009"	"1.0554392360039477"	"0.9991179894323896"	"1.0430617163563636"	"1.0841589590887541"	"1.0271483113053226"	"1.0351070343549573"	"1.065130416247232"	"1.06740547888192"	"1.0128777992823192"	"1.063983775801673"	"1.0097457927689253"	"1.0257067460765823"	"1.0497998031786235"	"1.0456712554438143"	"1.0519871856336664"	"1.0637886445312605"	"1.0399642851767468"	"1.0263888944963553"	"1.0635590954454888"	"1.0327673611299693"	"1.0686564981556366"
"46"	"-92"	"0.9838348253086262"	"1.0165050934321254"	"0.9892477640808552"	"1.0043670794140982"	"1.0016895685389746"	"0.9832240946683466"	"1.0047285793226306"	"0.9763636710027984"	"0.9622936505504908"	"1.0463825009775964"	"0.9686342795076268"	"0.9829646722247751"	"0.9580535718698606"	"1.0001543437369356"	"1.007278789889898"	"0.9804935798662564"	"0.9879069329485732"	"0.9843548829400285"	"0.9485667985437418"	"1.0244041353755864"	"1.0487841363055752"	"0.9749457369809963"	"0.9882651904002291"	"0.9853324991473601"	"0.9993322173271756"
"47"	"-91"	"0.9747896952979085"	"1.0856005115927998"	"1.088415596348737"	"1.0181103206887536"	"1.0192260282636207"	"1.009217587067182"	"1.0162297569142333"	"1.0270272947979522"	"1.0004162469094258"	"1.0587089917674222"	"1.0074866926614534"	"1.0209118439439993"	"1.0322006788126243"	"1.0239174326852667"	"1.015985651965504"	"1.0169329453639948"	"1.0553089482886635"	"1.1123350675786114"	"1.0563652682833018"	"1.06273975348254"	"1.0300072803890634"	"1.0106727805726505"	"0.9735137559435004"	"1.0373481454140603"	"1.0241312124117647"
"48"	"-90"	"1.0246806487073823"	"0.9282179210982343"	"0.9344441098746663"	"0.9162395777759075"	"0.9215816399916378"	"0.9133491152697004"	"0.9071758218709604"	"0.9693639083369484"	"0.9499024151050507"	"0.9234483466230171"	"0.8885872205132153"	"1.000445405492229"	"0.9812931192233366"	"0.9731693278083392"	"0.9584218697769322"	"0.9643557533040662"	"1.0129966522121665"	"0.9183045476104389"	"1.0188230033016525"	"0.9335252087157554"	"0.9829291315080381"	"0.9743162425909992"	"1.0114255737927034"	"0.993244833687913"	"0.9936609376620325"
"49"	"-89"	"0.9889548483296634"	"0.9566035692020154"	"0.9582430716160795"	"0.919125872412044"	"0.9661149023400792"	"0.981045733772024"	"0.9839951670795706"	"0.9759744141839444"	"1.0280082995979474"	"0.9742447583981947"	"1.0245774462875856"	"0.986676558796044"	"1.0117213312702595"	"0.9766888571565895"	"0.99124208191727"	"1.0172672693813125"	"0.9873749741088604"	"0.9776994862593179"	"1.0354256699191149"	"0.9715194722041444"	"0.9527242902082194"	"0.992342604450565"	"0.9640833211525536"	"0.9936108175866859"	"0.9602301187975035"
